CaseID,ActivityID,CompleteTimestamp,Resource
case_1173,A,1970-01-01 00:00:00,A
case_1173,B,1970-01-01 01:00:00,V
case_1173,C,1970-01-01 02:00:00,J
case_1173,D2,1970-01-01 03:00:00,V
case_1173,D1,1970-01-01 03:00:00,J
case_1173,D3,1970-01-01 03:00:00,H
case_1173,E,1970-01-01 04:00:00,P
case_1173,F,1970-01-01 05:00:00,B
case_1173,G2,1970-01-01 06:00:00,K
case_1173,H,1970-01-01 07:00:00,V
case_1173,I,1970-01-01 08:00:00,V
case_1288,A,1970-01-01 00:00:00,J
case_1288,B,1970-01-01 01:00:00,I
case_1288,C,1970-01-01 02:00:00,U
case_1288,D1,1970-01-01 03:00:00,L
case_1288,D2,1970-01-01 03:00:00,G
case_1288,D3,1970-01-01 03:00:00,Q
case_1288,E,1970-01-01 04:00:00,B
case_1288,F,1970-01-01 05:00:00,B
case_1288,G2,1970-01-01 06:00:00,O
case_1288,H,1970-01-01 07:00:00,B
case_1288,I,1970-01-01 08:00:00,Z
case_288,A,1970-01-01 00:00:00,G
case_288,B,1970-01-01 01:00:00,O
case_288,C,1970-01-01 02:00:00,J
case_288,D3,1970-01-01 03:00:00,U
case_288,D1,1970-01-01 03:00:00,C
case_288,D2,1970-01-01 03:00:00,H
case_288,E,1970-01-01 04:00:00,D
case_288,F,1970-01-01 05:00:00,A
case_288,G1,1970-01-01 06:00:00,S
case_288,H,1970-01-01 07:00:00,I
case_288,I,1970-01-01 08:00:00,F
case_533,A,1970-01-01 00:00:00,L
case_533,B,1970-01-01 01:00:00,C
case_533,C,1970-01-01 02:00:00,C
case_533,D2,1970-01-01 03:00:00,O
case_533,D3,1970-01-01 03:00:00,B
case_533,D1,1970-01-01 03:00:00,B
case_533,E,1970-01-01 04:00:00,E
case_533,F,1970-01-01 05:00:00,A
case_533,G1,1970-01-01 06:00:00,B
case_533,H,1970-01-01 07:00:00,V
case_533,I,1970-01-01 08:00:00,O
case_889,A,1970-01-01 00:00:00,Y
case_889,B,1970-01-01 01:00:00,V
case_889,C,1970-01-01 02:00:00,I
case_889,D3,1970-01-01 03:00:00,F
