CaseID,ActivityID,CompleteTimestamp,Resource
case_1173,0,2000-01-01 00:00:00,0
case_1173,1,2000-01-01 01:00:00,1
case_1173,2,2000-01-01 02:00:00,2
case_1173,3,2000-01-01 03:00:00,1
case_1173,4,2000-01-01 03:00:00,2
case_1173,5,2000-01-01 03:00:00,3
case_1173,6,2000-01-01 04:00:00,4
case_1173,7,2000-01-01 05:00:00,5
case_1173,8,2000-01-01 06:00:00,6
case_1173,9,2000-01-01 07:00:00,1
case_1173,10,2000-01-01 08:00:00,1
case_1288,0,2000-01-01 00:00:00,2
case_1288,1,2000-01-01 01:00:00,7
case_1288,2,2000-01-01 02:00:00,8
case_1288,4,2000-01-01 03:00:00,9
case_1288,3,2000-01-01 03:00:00,10
case_1288,5,2000-01-01 03:00:00,11
case_1288,6,2000-01-01 04:00:00,5
case_1288,7,2000-01-01 05:00:00,5
case_1288,8,2000-01-01 06:00:00,12
case_1288,9,2000-01-01 07:00:00,5
case_1288,10,2000-01-01 08:00:00,13
case_288,0,2000-01-01 00:00:00,10
case_288,1,2000-01-01 01:00:00,12
case_288,2,2000-01-01 02:00:00,2
case_288,5,2000-01-01 03:00:00,8
case_288,4,2000-01-01 03:00:00,14
case_288,3,2000-01-01 03:00:00,3
case_288,6,2000-01-01 04:00:00,15
case_288,7,2000-01-01 05:00:00,0
case_288,11,2000-01-01 06:00:00,16
case_288,9,2000-01-01 07:00:00,7
case_288,10,2000-01-01 08:00:00,17
case_533,0,2000-01-01 00:00:00,9
case_533,1,2000-01-01 01:00:00,14
case_533,2,2000-01-01 02:00:00,14
case_533,3,2000-01-01 03:00:00,12
case_533,5,2000-01-01 03:00:00,5
case_533,4,2000-01-01 03:00:00,5
case_533,6,2000-01-01 04:00:00,18
case_533,7,2000-01-01 05:00:00,0
case_533,11,2000-01-01 06:00:00,5
case_533,9,2000-01-01 07:00:00,1
case_533,10,2000-01-01 08:00:00,12
case_889,0,2000-01-01 00:00:00,19
case_889,1,2000-01-01 01:00:00,1
case_889,2,2000-01-01 02:00:00,7
case_889,5,2000-01-01 03:00:00,17
case_889,4,2000-01-01 03:00:00,2
case_889,3,2000-01-01 03:00:00,18
case_889,6,2000-01-01 04:00:00,16
case_889,7,2000-01-01 05:00:00,5
case_889,8,2000-01-01 06:00:00,11
case_889,9,2000-01-01 07:00:00,20
case_889,10,2000-01-01 08:00:00,1
case_102,0,2000-01-01 00:00:00,15
case_102,1,2000-01-01 01:00:00,20
case_102,2,2000-01-01 02:00:00,21
case_102,3,2000-01-01 03:00:00,3
case_102,4,2000-01-01 03:00:00,3
case_102,5,2000-01-01 03:00:00,22
case_102,6,2000-01-01 04:00:00,6
case_102,7,2000-01-01 05:00:00,14
case_102,12,2000-01-01 06:00:00,12
case_102,9,2000-01-01 07:00:00,14
case_102,10,2000-01-01 08:00:00,0
case_1896,0,2000-01-01 00:00:00,20
case_1896,1,2000-01-01 01:00:00,13
case_1896,2,2000-01-01 02:00:00,13
case_1896,4,2000-01-01 03:00:00,19
case_1896,5,2000-01-01 03:00:00,11
case_1896,3,2000-01-01 03:00:00,16
case_1896,6,2000-01-01 04:00:00,4
case_1896,7,2000-01-01 05:00:00,5
case_1896,8,2000-01-01 06:00:00,23
case_1896,9,2000-01-01 07:00:00,5
case_1896,10,2000-01-01 08:00:00,14
case_612,0,2000-01-01 00:00:00,17
case_612,1,2000-01-01 01:00:00,23
case_612,2,2000-01-01 02:00:00,8
case_612,4,2000-01-01 03:00:00,11
case_612,5,2000-01-01 03:00:00,14
case_612,3,2000-01-01 03:00:00,14
case_612,6,2000-01-01 04:00:00,21
case_612,7,2000-01-01 05:00:00,0
case_612,11,2000-01-01 06:00:00,10
case_612,9,2000-01-01 07:00:00,1
case_612,10,2000-01-01 08:00:00,14
case_1650,0,2000-01-01 00:00:00,9
case_1650,1,2000-01-01 01:00:00,2
case_1650,2,2000-01-01 02:00:00,12
case_1650,5,2000-01-01 03:00:00,15
case_1650,3,2000-01-01 03:00:00,4
case_1650,4,2000-01-01 03:00:00,8
case_1650,6,2000-01-01 04:00:00,18
case_1650,7,2000-01-01 05:00:00,5
case_1650,8,2000-01-01 06:00:00,5
case_1650,9,2000-01-01 07:00:00,15
case_1650,10,2000-01-01 08:00:00,0
case_77,0,2000-01-01 00:00:00,0
case_77,1,2000-01-01 01:00:00,11
case_77,2,2000-01-01 02:00:00,6
case_77,3,2000-01-01 03:00:00,5
case_77,4,2000-01-01 03:00:00,9
case_77,5,2000-01-01 03:00:00,22
case_77,6,2000-01-01 04:00:00,21
case_77,7,2000-01-01 05:00:00,0
case_77,11,2000-01-01 06:00:00,11
case_77,9,2000-01-01 07:00:00,0
case_77,10,2000-01-01 08:00:00,7
case_669,0,2000-01-01 00:00:00,19
case_669,1,2000-01-01 01:00:00,4
case_669,2,2000-01-01 02:00:00,18
case_669,5,2000-01-01 03:00:00,22
case_669,4,2000-01-01 03:00:00,5
case_669,3,2000-01-01 03:00:00,0
case_669,6,2000-01-01 04:00:00,17
case_669,7,2000-01-01 05:00:00,5
case_669,8,2000-01-01 06:00:00,18
case_669,9,2000-01-01 07:00:00,8
case_669,10,2000-01-01 08:00:00,19
case_478,0,2000-01-01 00:00:00,2
case_478,1,2000-01-01 01:00:00,14
case_478,2,2000-01-01 02:00:00,7
case_478,3,2000-01-01 03:00:00,2
case_478,4,2000-01-01 03:00:00,17
case_478,5,2000-01-01 03:00:00,2
case_478,6,2000-01-01 04:00:00,4
case_478,7,2000-01-01 05:00:00,14
case_478,12,2000-01-01 06:00:00,20
case_478,9,2000-01-01 07:00:00,2
case_478,10,2000-01-01 08:00:00,14
case_1071,0,2000-01-01 00:00:00,3
case_1071,1,2000-01-01 01:00:00,6
case_1071,2,2000-01-01 02:00:00,3
case_1071,3,2000-01-01 03:00:00,23
case_1071,4,2000-01-01 03:00:00,9
case_1071,5,2000-01-01 03:00:00,8
case_1071,6,2000-01-01 04:00:00,8
case_1071,7,2000-01-01 05:00:00,0
case_1071,11,2000-01-01 06:00:00,1
case_1071,9,2000-01-01 07:00:00,7
case_1071,10,2000-01-01 08:00:00,24
case_1420,0,2000-01-01 00:00:00,6
case_1420,1,2000-01-01 01:00:00,12
case_1420,2,2000-01-01 02:00:00,9
case_1420,5,2000-01-01 03:00:00,15
case_1420,4,2000-01-01 03:00:00,21
case_1420,3,2000-01-01 03:00:00,8
case_1420,6,2000-01-01 04:00:00,9
case_1420,7,2000-01-01 05:00:00,14
case_1420,12,2000-01-01 06:00:00,20
case_1420,9,2000-01-01 07:00:00,10
case_1420,10,2000-01-01 08:00:00,4
case_1801,0,2000-01-01 00:00:00,8
case_1801,1,2000-01-01 01:00:00,7
case_1801,2,2000-01-01 02:00:00,2
case_1801,3,2000-01-01 03:00:00,0
case_1801,5,2000-01-01 03:00:00,23
case_1801,4,2000-01-01 03:00:00,14
case_1801,6,2000-01-01 04:00:00,9
case_1801,7,2000-01-01 05:00:00,14
case_1801,12,2000-01-01 06:00:00,25
case_1801,9,2000-01-01 07:00:00,14
case_1801,10,2000-01-01 08:00:00,5
case_1869,0,2000-01-01 00:00:00,4
case_1869,1,2000-01-01 01:00:00,24
case_1869,2,2000-01-01 02:00:00,5
case_1869,3,2000-01-01 03:00:00,24
case_1869,4,2000-01-01 03:00:00,20
case_1869,5,2000-01-01 03:00:00,21
case_1869,6,2000-01-01 04:00:00,5
case_1869,7,2000-01-01 05:00:00,14
case_1869,12,2000-01-01 06:00:00,20
case_1869,9,2000-01-01 07:00:00,21
case_1869,10,2000-01-01 08:00:00,9
case_726,0,2000-01-01 00:00:00,10
case_726,1,2000-01-01 01:00:00,24
case_726,2,2000-01-01 02:00:00,1
case_726,4,2000-01-01 03:00:00,15
case_726,5,2000-01-01 03:00:00,14
case_726,3,2000-01-01 03:00:00,16
case_726,6,2000-01-01 04:00:00,0
case_726,7,2000-01-01 05:00:00,5
case_726,8,2000-01-01 06:00:00,17
case_726,9,2000-01-01 07:00:00,4
case_726,10,2000-01-01 08:00:00,16
case_447,0,2000-01-01 00:00:00,16
case_447,1,2000-01-01 01:00:00,19
case_447,2,2000-01-01 02:00:00,4
case_447,4,2000-01-01 03:00:00,14
case_447,5,2000-01-01 03:00:00,25
case_447,3,2000-01-01 03:00:00,6
case_447,6,2000-01-01 04:00:00,2
case_447,7,2000-01-01 05:00:00,0
case_447,11,2000-01-01 06:00:00,13
case_447,9,2000-01-01 07:00:00,21
case_447,10,2000-01-01 08:00:00,17
case_1566,0,2000-01-01 00:00:00,21
case_1566,1,2000-01-01 01:00:00,4
case_1566,2,2000-01-01 02:00:00,5
case_1566,4,2000-01-01 03:00:00,17
case_1566,3,2000-01-01 03:00:00,11
case_1566,5,2000-01-01 03:00:00,12
case_1566,6,2000-01-01 04:00:00,17
case_1566,7,2000-01-01 05:00:00,14
case_1566,12,2000-01-01 06:00:00,17
case_1566,9,2000-01-01 07:00:00,3
case_1566,10,2000-01-01 08:00:00,10
case_1976,0,2000-01-01 00:00:00,10
case_1976,1,2000-01-01 01:00:00,8
case_1976,2,2000-01-01 02:00:00,9
case_1976,5,2000-01-01 03:00:00,12
case_1976,3,2000-01-01 03:00:00,22
case_1976,4,2000-01-01 03:00:00,7
case_1976,6,2000-01-01 04:00:00,16
case_1976,7,2000-01-01 05:00:00,0
case_1976,11,2000-01-01 06:00:00,8
case_1976,9,2000-01-01 07:00:00,17
case_1976,10,2000-01-01 08:00:00,18
case_1655,0,2000-01-01 00:00:00,10
case_1655,1,2000-01-01 01:00:00,1
case_1655,2,2000-01-01 02:00:00,22
case_1655,4,2000-01-01 03:00:00,8
case_1655,3,2000-01-01 03:00:00,6
case_1655,5,2000-01-01 03:00:00,11
case_1655,6,2000-01-01 04:00:00,19
case_1655,7,2000-01-01 05:00:00,0
case_1655,11,2000-01-01 06:00:00,11
case_1655,9,2000-01-01 07:00:00,13
case_1655,10,2000-01-01 08:00:00,23
case_708,0,2000-01-01 00:00:00,25
case_708,1,2000-01-01 01:00:00,7
case_708,2,2000-01-01 02:00:00,11
case_708,5,2000-01-01 03:00:00,1
case_708,4,2000-01-01 03:00:00,25
case_708,3,2000-01-01 03:00:00,24
case_708,6,2000-01-01 04:00:00,23
case_708,7,2000-01-01 05:00:00,5
case_708,8,2000-01-01 06:00:00,23
case_708,9,2000-01-01 07:00:00,22
case_708,10,2000-01-01 08:00:00,19
case_1591,0,2000-01-01 00:00:00,12
case_1591,1,2000-01-01 01:00:00,21
case_1591,2,2000-01-01 02:00:00,23
case_1591,3,2000-01-01 03:00:00,15
case_1591,4,2000-01-01 03:00:00,0
case_1591,5,2000-01-01 03:00:00,18
case_1591,6,2000-01-01 04:00:00,7
case_1591,7,2000-01-01 05:00:00,5
case_1591,8,2000-01-01 06:00:00,15
case_1591,9,2000-01-01 07:00:00,10
case_1591,10,2000-01-01 08:00:00,21
case_1917,0,2000-01-01 00:00:00,20
case_1917,1,2000-01-01 01:00:00,7
case_1917,2,2000-01-01 02:00:00,20
case_1917,4,2000-01-01 03:00:00,2
case_1917,3,2000-01-01 03:00:00,11
case_1917,5,2000-01-01 03:00:00,17
case_1917,6,2000-01-01 04:00:00,10
case_1917,7,2000-01-01 05:00:00,14
case_1917,12,2000-01-01 06:00:00,16
case_1917,9,2000-01-01 07:00:00,21
case_1917,10,2000-01-01 08:00:00,17
case_1675,0,2000-01-01 00:00:00,22
case_1675,1,2000-01-01 01:00:00,22
case_1675,2,2000-01-01 02:00:00,3
case_1675,4,2000-01-01 03:00:00,7
case_1675,5,2000-01-01 03:00:00,12
case_1675,3,2000-01-01 03:00:00,1
case_1675,6,2000-01-01 04:00:00,4
case_1675,7,2000-01-01 05:00:00,14
case_1675,12,2000-01-01 06:00:00,15
case_1675,9,2000-01-01 07:00:00,15
case_1675,10,2000-01-01 08:00:00,22
case_1416,0,2000-01-01 00:00:00,0
case_1416,1,2000-01-01 01:00:00,16
case_1416,2,2000-01-01 02:00:00,8
case_1416,5,2000-01-01 03:00:00,20
case_1416,4,2000-01-01 03:00:00,19
case_1416,3,2000-01-01 03:00:00,7
case_1416,6,2000-01-01 04:00:00,19
case_1416,7,2000-01-01 05:00:00,0
case_1416,11,2000-01-01 06:00:00,5
case_1416,9,2000-01-01 07:00:00,4
case_1416,10,2000-01-01 08:00:00,4
case_159,0,2000-01-01 00:00:00,20
case_159,1,2000-01-01 01:00:00,12
case_159,2,2000-01-01 02:00:00,16
case_159,3,2000-01-01 03:00:00,13
case_159,5,2000-01-01 03:00:00,2
case_159,4,2000-01-01 03:00:00,13
case_159,6,2000-01-01 04:00:00,12
case_159,7,2000-01-01 05:00:00,0
case_159,11,2000-01-01 06:00:00,7
case_159,9,2000-01-01 07:00:00,2
case_159,10,2000-01-01 08:00:00,2
case_1333,0,2000-01-01 00:00:00,18
case_1333,1,2000-01-01 01:00:00,18
case_1333,2,2000-01-01 02:00:00,19
case_1333,3,2000-01-01 03:00:00,14
case_1333,4,2000-01-01 03:00:00,5
case_1333,5,2000-01-01 03:00:00,23
case_1333,6,2000-01-01 04:00:00,1
case_1333,7,2000-01-01 05:00:00,0
case_1333,11,2000-01-01 06:00:00,2
case_1333,9,2000-01-01 07:00:00,1
case_1333,10,2000-01-01 08:00:00,10
case_744,0,2000-01-01 00:00:00,17
case_744,1,2000-01-01 01:00:00,5
case_744,2,2000-01-01 02:00:00,20
case_744,4,2000-01-01 03:00:00,10
case_744,5,2000-01-01 03:00:00,0
case_744,3,2000-01-01 03:00:00,23
case_744,6,2000-01-01 04:00:00,16
case_744,7,2000-01-01 05:00:00,14
case_744,12,2000-01-01 06:00:00,9
case_744,9,2000-01-01 07:00:00,15
case_744,10,2000-01-01 08:00:00,20
case_1044,0,2000-01-01 00:00:00,4
case_1044,1,2000-01-01 01:00:00,12
case_1044,2,2000-01-01 02:00:00,12
case_1044,5,2000-01-01 03:00:00,11
case_1044,4,2000-01-01 03:00:00,19
case_1044,3,2000-01-01 03:00:00,14
case_1044,6,2000-01-01 04:00:00,8
case_1044,7,2000-01-01 05:00:00,5
case_1044,8,2000-01-01 06:00:00,11
case_1044,9,2000-01-01 07:00:00,7
case_1044,10,2000-01-01 08:00:00,23
case_1697,0,2000-01-01 00:00:00,12
case_1697,1,2000-01-01 01:00:00,20
case_1697,2,2000-01-01 02:00:00,14
case_1697,4,2000-01-01 03:00:00,21
case_1697,5,2000-01-01 03:00:00,23
case_1697,3,2000-01-01 03:00:00,10
case_1697,6,2000-01-01 04:00:00,7
case_1697,7,2000-01-01 05:00:00,14
case_1697,12,2000-01-01 06:00:00,11
case_1697,9,2000-01-01 07:00:00,15
case_1697,10,2000-01-01 08:00:00,15
